ax,ay,az,time,battery,height,roll,pitch,yaw,vx,vy,vz
586.0,-42.0,50.0,1742754662.2434628,47,20,29,69,53,10,6,0
869.0,-152.0,418.0,1742754662.4947197,47,0,21,66,55,0,0,0
933.0,-98.0,590.0,1742754662.7459056,47,0,12,62,42,0,0,0
900.0,-100.0,601.0,1742754662.9971468,47,0,9,65,40,0,0,0
886.0,136.0,515.0,1742754663.2482216,47,0,6,72,37,0,0,0
848.0,186.0,286.0,1742754663.5001023,47,0,-9,77,10,0,0,1
613.0,725.0,815.0,1742754663.7523,47,0,-1,62,-51,0,0,-1
914.0,-147.0,464.0,1742754664.0041516,47,0,17,34,-60,0,0,0
340.0,-385.0,86.0,1742754664.2553067,47,0,22,22,-55,0,-2,0
175.0,151.0,37.0,1742754664.5073206,47,0,17,8,-40,6,-1,2
-757.0,-553.0,-141.0,1742754664.7593133,47,0,1,3,-7,0,0,0
29.0,844.0,205.0,1742754665.0106158,47,0,0,-2,-17,0,0,-2
228.0,621.0,-80.0,1742754665.2619507,47,0,1,-6,-18,0,0,0
-277.0,-448.0,-371.0,1742754665.5135174,47,0,-1,3,5,0,0,2
285.0,-121.0,-5.0,1742754665.765931,47,0,-5,6,5,0,0,0
-225.0,-356.0,-186.0,1742754666.0176785,47,0,-6,5,12,0,0,0
250.0,629.0,-73.0,1742754666.2685974,47,0,2,-6,-8,0,0,0
-468.0,-88.0,-51.0,1742754666.5206378,47,0,1,-7,-7,0,0,0
-210.0,-92.0,-5.0,1742754666.7725592,47,0,2,-4,-11,-2,1,0
64.0,-82.0,0.0,1742754667.023566,47,0,4,-4,-7,-2,0,0
462.0,63.0,-133.0,1742754667.2745373,47,0,0,-3,-5,7,-1,0
99.0,278.0,110.0,1742754667.5261362,47,0,2,-5,13,14,2,0
65.0,521.0,173.0,1742754667.7779868,47,0,-2,9,48,13,9,2
43.0,321.0,-269.0,1742754668.0293376,47,0,-4,23,92,2,7,0
269.0,128.0,-40.0,1742754668.280166,47,0,-3,30,102,1,0,-3
420.0,306.0,135.0,1742754668.5322397,47,0,0,45,80,0,-10,1
431.0,939.0,-17.0,1742754668.78394,47,0,-8,40,5,0,0,1
895.0,632.0,237.0,1742754669.035626,47,0,11,16,-41,0,0,-4
568.0,-261.0,70.0,1742754669.2865684,47,0,17,2,-61,0,0,0
161.0,-112.0,9.0,1742754669.538453,47,0,15,-7,-45,0,0,1
231.0,296.0,-20.0,1742754669.79056,47,0,16,0,-6,0,0,0
33.0,576.0,-200.0,1742754670.0425649,47,0,16,14,38,0,0,0
103.0,-258.0,-346.0,1742754670.2936554,47,0,16,44,86,0,0,-2
