ax,ay,az,time,battery,height,roll,pitch,yaw,vx,vy,vz
594.0,424.0,42.0,1742754670.545339,47,0,33,78,87,0,0,0
1195.0,1107.0,1229.0,1742754670.797348,47,0,-111,79,-139,0,0,0
941.0,1098.0,1418.0,1742754671.0486214,47,0,-23,86,-96,0,0,-2
1115.0,115.0,1232.0,1742754671.2994342,47,0,106,55,-7,0,0,-2
634.0,-405.0,1244.0,1742754671.5512302,47,0,112,26,-10,0,0,0
286.0,-544.0,1348.0,1742754671.8024323,47,0,78,9,-6,0,0,7
485.0,-265.0,-518.0,1742754672.0548105,47,-20,29,18,16,0,0,8
762.0,-25.0,542.0,1742754672.3058515,47,-20,17,66,57,0,0,-5
907.0,-110.0,687.0,1742754672.5569742,47,-10,92,69,117,0,0,-2
328.0,-674.0,1369.0,1742754672.8083243,47,-10,100,34,37,0,0,0
7.0,-677.0,1370.0,1742754673.060374,47,0,105,8,10,0,0,1
-540.0,-1136.0,593.0,1742754673.3116162,47,0,87,-20,-21,0,0,3
198.0,-515.0,690.0,1742754673.563422,47,0,67,-1,-51,0,0,1
-31.0,-186.0,-59.0,1742754673.8150039,47,-10,11,0,-44,0,0,1
69.0,541.0,-239.0,1742754674.0667453,47,-10,-3,0,-22,0,0,0
417.0,102.0,204.0,1742754674.3181963,47,0,-16,40,30,0,0,-3
942.0,156.0,582.0,1742754674.5699604,47,0,-16,58,35,0,0,-2
740.0,-372.0,919.0,1742754674.8217454,47,0,105,70,149,0,0,-3
1010.0,-211.0,1171.0,1742754675.0735085,47,0,137,59,136,0,0,0
684.0,-255.0,1280.0,1742754675.3245704,47,0,135,53,49,0,0,0
358.0,-358.0,1243.0,1742754675.5763245,47,0,109,39,-5,0,0,3
851.0,255.0,-84.0,1742754675.8286977,47,-10,-14,38,-90,0,0,7
97.0,65.0,-25.0,1742754676.0799952,47,-20,-2,10,-69,0,0,4
-1.0,-4.0,-7.0,1742754676.3310275,47,-30,0,2,-63,0,0,0
145.0,-88.0,-1198.0,1742754676.5827754,47,0,-5,6,-60,0,0,-7
-27.0,88.0,1184.0,1742754676.835125,47,50,24,25,-51,0,0,-15
233.0,-322.0,770.0,1742754677.086704,47,60,25,20,-57,0,0,2
-206.0,271.0,-137.0,1742754677.3380551,47,30,0,3,-56,0,0,14
-467.0,120.0,-698.0,1742754677.589289,47,10,-10,-8,-52,0,0,8
-125.0,122.0,-258.0,1742754677.8415043,47,20,0,0,-54,0,0,-14
142.0,-99.0,734.0,1742754678.0935254,47,50,23,19,-54,0,0,-13
276.0,-102.0,716.0,1742754678.345032,47,60,27,24,-51,0,0,8
-78.0,-163.0,-598.0,1742754678.5968826,47,30,7,9,-53,0,0,17
-49.0,-37.0,-26.0,1742754678.8482168,47,0,-3,3,-59,0,0,0
-24.0,61.0,17.0,1742754679.100509,47,0,-3,0,-59,0,0,0
-60.0,39.0,17.0,1742754679.3517623,47,0,-3,0,-57,0,0,0
-67.0,31.0,-4.0,1742754679.6033652,47,0,-3,1,-59,0,0,0
177.0,237.0,127.0,1742754679.8555787,47,0,-2,1,-61,0,0,-1
280.0,552.0,-170.0,1742754680.1074681,47,0,-3,0,-49,0,0,-1
-1135.0,131.0,-223.0,1742754680.3584135,47,0,-1,10,15,0,0,-1
-1212.0,-128.0,123.0,1742754680.610124,47,0,0,8,25,0,0,0
262.0,1150.0,-20.0,1742754680.8620472,47,0,-3,0,-47,0,0,-2
1094.0,609.0,172.0,1742754681.113122,47,0,-1,3,-75,0,0,0
-103.0,1831.0,5.0,1742754681.3643756,47,0,-6,10,-1,26,9,-1
-1565.0,-265.0,-75.0,1742754681.6163437,47,0,-2,12,23,0,0,0
265.0,1672.0,-127.0,1742754681.8677206,47,0,-8,5,-34,0,0,0
673.0,1237.0,-273.0,1742754682.119262,47,0,-6,5,-57,0,0,-1
867.0,410.0,384.0,1742754682.3702369,47,0,-13,9,-8,0,0,0
224.0,1283.0,35.0,1742754682.6219857,47,0,-9,10,31,0,0,-2
-197.0,998.0,-266.0,1742754682.8736856,47,0,-11,9,-6,0,0,3
925.0,632.0,357.0,1742754683.1253958,47,0,-9,8,-41,0,0,-2
18.0,300.0,-110.0,1742754683.3765664,47,0,-11,7,-27,0,0,0
-776.0,-2160.0,-620.0,1742754683.6277933,47,0,-10,6,-13,0,0,-4
-551.0,1018.0,714.0,1742754683.8799844,47,0,-3,7,-24,0,0,0
199.0,-1390.0,-1036.0,1742754684.1326995,47,0,-10,7,-13,0,0,2
-342.0,1393.0,361.0,1742754684.3837957,47,0,-8,10,-37,0,0,0
-17.0,-534.0,-518.0,1742754684.6353345,47,0,-7,7,-10,0,0,4
110.0,-221.0,441.0,1742754684.8873465,47,0,-4,8,-18,0,0,-2
-295.0,1184.0,502.0,1742754685.1384943,47,0,-14,10,-26,0,0,0
-347.0,-1246.0,-527.0,1742754685.3902652,47,0,-5,-1,1,0,0,0
127.0,2678.0,-98.0,1742754685.6416574,47,0,-12,5,-35,0,0,1
-303.0,-446.0,-214.0,1742754685.8939497,47,0,-1,1,-4,0,0,3
-322.0,-110.0,575.0,1742754686.1456156,47,0,-1,3,-14,0,0,0
-481.0,-633.0,-257.0,1742754686.396934,47,0,-4,2,1,0,0,1
-391.0,79.0,319.0,1742754686.6490066,47,0,-9,6,-25,0,0,0
-555.0,-498.0,-101.0,1742754686.9004378,47,0,-3,6,-4,0,0,2
-642.0,187.0,729.0,1742754687.1528325,47,0,0,7,-14,0,0,-1
-123.0,1846.0,725.0,1742754687.4041395,47,0,-12,9,-52,0,0,-5
-490.0,-1452.0,-206.0,1742754687.655808,47,0,-5,9,7,0,0,-1
-73.0,-26.0,-166.0,1742754687.9079485,47,0,-7,8,4,0,0,0
-1728.0,878.0,-264.0,1742754688.1598597,47,0,-12,16,-71,0,0,-5
-1219.0,1416.0,397.0,1742754688.4107935,47,10,-23,22,-157,0,0,-6
841.0,1560.0,1008.0,1742754688.6625767,47,30,-18,18,145,0,0,0
119.0,2107.0,526.0,1742754688.9142475,47,20,-13,13,165,0,0,1
-2756.0,2136.0,-287.0,1742754689.1661296,47,0,5,12,-71,41,-23,0
-2411.0,1450.0,-140.0,1742754689.4172873,47,0,5,0,23,0,0,6
-2210.0,429.0,-787.0,1742754689.6694593,47,-10,-13,3,99,0,0,-1
-674.0,1359.0,113.0,1742754689.921154,47,0,-27,7,97,0,0,1
-1317.0,1026.0,-70.0,1742754690.1721244,47,0,-25,13,40,0,0,0
-905.0,1550.0,625.0,1742754690.4238899,47,0,-19,10,-88,0,0,0
486.0,652.0,-106.0,1742754690.6755755,47,0,17,15,-114,0,0,-1
111.0,-411.0,164.0,1742754690.9279108,47,0,66,-1,-65,0,0,1
-632.0,-158.0,-510.0,1742754691.179282,47,0,26,12,1,0,0,4
-669.0,-399.0,-200.0,1742754691.4309363,47,0,0,22,35,0,0,0
43.0,769.0,-79.0,1742754691.683455,47,-10,-16,17,-3,0,0,5
529.0,748.0,170.0,1742754691.9351027,47,-10,-10,14,-40,0,0,2
-13.0,17.0,-168.0,1742754692.186894,47,0,3,-3,-50,0,0,2
-26.0,118.0,-65.0,1742754692.439367,47,0,-3,-5,-45,0,0,1
-161.0,236.0,74.0,1742754692.691321,47,20,17,8,-30,0,4,-17
82.0,-126.0,1555.0,1742754692.9434135,47,40,40,22,-21,0,0,0
201.0,-307.0,889.0,1742754693.1949039,47,10,9,0,-27,0,0,20
-322.0,211.0,-550.0,1742754693.4461532,47,0,-12,-4,-27,0,0,1
-434.0,-37.0,-1121.0,1742754693.69884,47,10,6,5,-32,0,0,-17
225.0,111.0,819.0,1742754693.9514403,47,50,38,24,-27,0,0,0
-324.0,139.0,-1289.0,1742754694.20288,47,10,5,0,-36,0,0,18
0.0,302.0,125.0,1742754694.4541469,47,0,-7,3,-46,0,0,0
-46.0,156.0,-83.0,1742754694.7057033,47,0,-9,-2,-46,0,0,0
-58.0,194.0,7.0,1742754694.956808,47,0,-10,-2,-47,0,0,0
-68.0,200.0,-23.0,1742754695.2096753,47,0,-11,-2,-47,0,0,0
-50.0,165.0,21.0,1742754695.461057,47,0,-10,-1,-47,0,0,0
2.0,114.0,3.0,1742754695.7125413,47,0,-6,0,-46,0,0,0
-13.0,81.0,-39.0,1742754695.9642138,47,0,-5,0,-45,0,0,0
-19.0,-32.0,-96.0,1742754696.2150838,47,0,-3,3,-45,0,0,-2
-14.0,-25.0,2.0,1742754696.466243,47,0,2,0,-46,0,0,-5
649.0,158.0,245.0,1742754696.71779,47,10,-8,32,-62,0,0,-1
739.0,657.0,418.0,1742754696.9696178,47,10,-13,36,-52,0,0,0
478.0,219.0,199.0,1742754697.2212887,47,0,-28,55,-20,0,0,-1
664.0,183.0,158.0,1742754697.4728808,47,0,-13,52,0,0,0,0
694.0,9.0,182.0,1742754697.7244966,47,0,-4,39,2,0,0,0
555.0,53.0,135.0,1742754697.9762185,47,0,-6,39,0,0,0,-1
276.0,-33.0,490.0,1742754698.2276785,47,0,-7,35,-17,0,0,0
518.0,184.0,180.0,1742754698.4789388,47,0,0,17,-37,0,0,0
1115.0,1339.0,5.0,1742754698.7308388,47,0,-7,16,-28,0,0,-3
292.0,2086.0,317.0,1742754698.9819834,46,10,0,12,29,0,0,-6
746.0,2629.0,452.0,1742754699.2341294,46,20,-12,13,161,0,0,-2
1072.0,1638.0,333.0,1742754699.4856212,46,40,-16,30,-126,0,0,-9
-57.0,971.0,744.0,1742754699.7376294,46,80,15,22,-37,0,0,-8
-1634.0,-723.0,2557.0,1742754699.989473,46,70,19,-28,-30,0,0,18
891.0,836.0,4159.0,1742754700.2413468,46,20,163,29,164,0,0,-2
1259.0,1724.0,845.0,1742754700.4930582,46,50,4,25,-50,0,0,-8
167.0,3393.0,223.0,1742754700.7449517,46,50,-4,3,34,0,0,-1
34.0,3169.0,489.0,1742754700.9969122,46,60,-4,1,125,0,0,-2
1108.0,1278.0,-427.0,1742754701.2481544,46,0,7,30,-89,0,0,-4
951.0,128.0,521.0,1742754701.4992678,46,0,37,20,-27,0,0,-5
1011.0,-2065.0,3422.0,1742754701.7518208,46,0,45,-4,-78,0,0,13
705.0,-1932.0,3776.0,1742754702.004218,46,-40,91,7,178,0,0,15
1426.0,15.0,1478.0,1742754702.256243,46,-40,-15,44,-30,0,0,-2
337.0,2617.0,472.0,1742754702.508171,46,-40,-14,20,31,0,0,3
-518.0,567.0,-93.0,1742754702.7606387,46,0,4,24,142,0,0,0
520.0,-67.0,203.0,1742754703.0126226,46,0,32,28,172,0,0,6
1040.0,-197.0,378.0,1742754703.2643123,46,-30,21,41,58,0,0,8
876.0,-140.0,576.0,1742754703.516369,46,-40,-3,20,20,0,0,5
274.0,138.0,-131.0,1742754703.7682319,46,-40,-1,13,11,0,0,0
98.0,-199.0,595.0,1742754704.020016,46,0,0,1,-7,0,0,1
-476.0,293.0,-187.0,1742754704.2725081,46,0,-14,-16,-8,0,0,6
-149.0,165.0,-33.0,1742754704.5234752,46,0,-6,0,-7,0,0,-10
74.0,-178.0,276.0,1742754704.7750912,46,20,9,11,-3,0,0,-8
167.0,-291.0,177.0,1742754705.0271273,46,40,20,18,2,0,0,-4
445.0,-498.0,468.0,1742754705.2788467,46,50,35,27,10,0,0,-2
368.0,-584.0,586.0,1742754705.5299997,46,0,35,26,8,0,0,1
-363.0,156.0,205.0,1742754705.7813406,46,-10,0,7,-4,0,0,15
-27.0,647.0,-592.0,1742754706.0324621,46,-40,-22,-4,-10,0,0,5
-221.0,313.0,25.0,1742754706.2840412,46,-40,-22,-11,-15,0,0,-1
-280.0,301.0,-4.0,1742754706.5352862,46,-40,-21,-13,-14,0,0,-2
-4.0,319.0,-234.0,1742754706.7874596,46,0,-12,1,-13,0,0,-10
8.0,1.0,228.0,1742754707.0393605,46,20,3,11,-6,0,0,-10
238.0,-256.0,308.0,1742754707.2908218,46,30,15,16,-2,0,0,-3
135.0,-407.0,569.0,1742754707.5421114,46,40,16,17,-5,0,0,3
26.0,725.0,-853.0,1742754707.7937605,46,10,-20,-2,-23,0,0,10
-310.0,195.0,56.0,1742754708.0453887,46,0,-18,-16,-25,0,0,-1
-271.0,257.0,59.0,1742754708.2962828,46,0,-18,-15,-25,0,0,0
-288.0,249.0,26.0,1742754708.5478113,46,0,-17,-15,-25,0,0,0
-228.0,202.0,118.0,1742754708.7999322,46,0,-13,-9,-25,0,0,-3
-152.0,142.0,152.0,1742754709.051113,46,0,-11,-7,-26,0,0,0
-229.0,157.0,3.0,1742754709.302475,46,0,-11,-11,-25,0,0,0
-236.0,122.0,56.0,1742754709.55367,46,0,-11,-11,-25,0,0,0
-224.0,1.0,19.0,1742754709.8048887,46,0,-9,-7,-19,0,0,0
-293.0,20.0,30.0,1742754710.0595572,46,0,-2,-5,-15,0,0,0
117.0,114.0,137.0,1742754710.3115418,46,0,-7,-4,-18,0,0,2
237.0,319.0,-82.0,1742754710.5625932,46,0,-12,10,-9,0,0,3
345.0,237.0,75.0,1742754710.8145506,46,0,-10,19,-7,0,0,1
365.0,121.0,104.0,1742754711.0673165,46,0,-6,21,-7,0,0,0
310.0,-5.0,203.0,1742754711.3197823,46,0,0,13,-8,0,0,0
1.0,1.0,0.0,1742754711.5708234,46,0,0,0,-6,0,0,0
1.0,0.0,-2.0,1742754711.8225813,46,0,0,0,-6,0,0,0
1.0,0.0,-2.0,1742754712.0745509,46,0,0,0,-6,0,0,0
1.0,2.0,-2.0,1742754712.3265052,46,0,0,0,-7,0,0,0
1.0,0.0,-4.0,1742754712.5777073,46,0,0,0,-7,0,0,0
1.0,1.0,-2.0,1742754712.8295317,46,0,0,0,-7,0,0,0
1.0,0.0,-3.0,1742754713.080986,46,0,0,0,-7,0,0,0
1.0,1.0,0.0,1742754713.3336153,46,0,0,0,-7,0,0,0
-1.0,15.0,-24.0,1742754713.5848038,46,0,0,0,-7,0,0,0
6.0,5.0,-5.0,1742754713.836752,46,0,0,0,-7,0,0,0
1.0,1.0,-1.0,1742754714.0891669,46,0,0,0,-7,0,0,0
1.0,1.0,2.0,1742754714.3409438,46,0,0,0,-7,0,0,0
2.0,-1.0,-1.0,1742754714.592028,46,0,0,0,-7,0,0,0
1.0,3.0,1.0,1742754714.8434885,46,0,0,0,-7,0,0,0
4.0,3.0,0.0,1742754715.0943499,46,0,0,0,-7,0,0,0
1.0,1.0,1.0,1742754715.3458114,46,0,0,0,-7,0,0,0
3.0,3.0,-4.0,1742754715.5975485,46,0,0,0,-7,0,0,0
1.0,2.0,0.0,1742754715.849904,46,0,0,0,-7,0,0,0
1.0,1.0,-38.0,1742754716.1009176,46,0,0,0,-6,0,0,0
-20.0,76.0,-122.0,1742754716.3525836,46,0,-2,-4,-6,0,0,0
-238.0,80.0,-976.0,1742754716.6041546,46,0,-7,0,0,1,0,-7
266.0,-130.0,891.0,1742754716.8560483,46,50,29,0,-5,-4,5,-14
30.0,-516.0,489.0,1742754717.10808,46,60,35,0,-17,0,0,-1
194.0,-492.0,212.0,1742754717.3590493,46,60,30,2,-33,-3,0,0
29.0,-360.0,54.0,1742754717.6101685,46,0,24,0,-36,-1,-1,2
37.0,-289.0,101.0,1742754717.862245,46,0,20,-2,-34,0,-2,2
4.0,-151.0,307.0,1742754718.114128,46,0,14,0,-19,5,-1,7
-100.0,76.0,-384.0,1742754718.3659945,46,-20,5,1,-12,5,-1,12
-72.0,84.0,-217.0,1742754718.6174853,46,-40,-6,-2,-13,0,0,2
0.0,1.0,2.0,1742754718.869028,46,-50,0,0,-13,0,0,0
-243.0,-131.0,-819.0,1742754719.1210372,46,0,-2,-3,-11,0,-4,-9
17.0,321.0,506.0,1742754719.3721843,46,30,17,-7,-11,0,0,-20
75.0,-540.0,838.0,1742754719.6238964,46,70,37,1,-15,0,0,-1
3.0,-167.0,642.0,1742754719.8758266,46,70,31,3,-14,0,0,8
-284.0,-85.0,-169.0,1742754720.127926,46,40,16,4,-13,1,-1,18
348.0,-70.0,-684.0,1742754720.3790402,46,0,-7,-1,-19,0,0,5
-2.0,4.0,-567.0,1742754720.6302865,46,10,1,1,-14,0,0,-12
-2.0,113.0,801.0,1742754720.881913,46,40,28,1,-13,0,0,-18
124.0,-267.0,700.0,1742754721.1329737,46,70,38,5,-16,0,0,5
127.0,-4.0,145.0,1742754721.384177,46,50,21,4,-14,0,0,14
108.0,-70.0,-318.0,1742754721.6351051,46,10,0,4,-20,0,0,4
25.0,57.0,45.0,1742754721.8867707,46,0,-1,0,-20,0,0,0
22.0,47.0,-26.0,1742754722.1378996,46,0,-3,0,-19,0,0,0
16.0,62.0,-58.0,1742754722.389024,46,0,-3,0,-18,0,0,0
69.0,51.0,-173.0,1742754722.6409698,46,10,3,4,-13,0,0,-15
-120.0,-35.0,696.0,1742754722.8927388,46,40,18,0,-11,0,0,-15
-23.0,-347.0,1095.0,1742754723.1446154,46,50,20,-2,-18,0,0,12
140.0,-146.0,293.0,1742754723.3961737,46,20,2,0,-16,0,0,13
-83.0,-27.0,-571.0,1742754723.647537,46,0,-10,-4,-13,0,0,-1
-128.0,231.0,-685.0,1742754723.8987148,46,50,26,3,-13,0,0,-18
100.0,-505.0,1549.0,1742754724.1500344,46,80,42,7,-13,0,0,2
-244.0,-150.0,483.0,1742754724.401244,46,60,24,1,-12,0,0,19
-371.0,-489.0,-2944.0,1742754724.6532419,46,0,-9,-3,-14,0,0,0
-153.0,1594.0,699.0,1742754724.9045377,46,50,32,7,-17,0,0,-33
-20.0,1002.0,1344.0,1742754725.156329,46,60,30,4,-18,0,0,29
-448.0,155.0,-3672.0,1742754725.4073482,46,0,-14,-2,-19,0,0,15
15.0,1215.0,1468.0,1742754725.6587067,46,70,50,15,-22,0,0,-25
286.0,139.0,2368.0,1742754725.9103696,46,80,53,14,-20,0,0,9
67.0,656.0,-3071.0,1742754726.1612673,46,10,-19,2,-21,0,0,11
60.0,490.0,1017.0,1742754726.4128978,46,30,2,10,-21,0,0,-16
145.0,-62.0,-411.0,1742754726.6651707,46,30,-1,7,-9,0,0,5
102.0,106.0,-17.0,1742754726.9174986,46,30,-7,7,-10,0,0,0
117.0,28.0,-281.0,1742754727.1702228,46,20,-7,3,-11,0,0,1
155.0,10.0,-49.0,1742754727.4214337,46,0,-9,11,-15,0,0,0
-17.0,207.0,33.0,1742754727.6732876,46,0,-5,0,-20,0,0,0
32.0,15.0,84.0,1742754727.9245746,46,0,-1,0,-25,0,0,1
-145.0,104.0,35.0,1742754728.1758754,46,0,-8,-6,-27,0,0,0
-107.0,195.0,-110.0,1742754728.4270916,46,0,-13,-10,-30,0,0,0
-185.0,1088.0,2475.0,1742754728.6787624,46,50,35,4,-38,0,0,-33
-45.0,-523.0,602.0,1742754728.9313679,46,80,43,1,-41,0,0,3
100.0,-830.0,611.0,1742754729.1826408,46,80,44,7,-38,0,0,0
-366.0,984.0,3010.0,1742754729.4351454,46,0,43,15,-45,0,0,15
-83.0,-219.0,-104.0,1742754729.6869082,46,-60,2,-12,-49,0,0,-2
-36.0,-276.0,382.0,1742754729.938996,46,-60,0,-9,-47,0,0,0
-1268.0,400.0,-2522.0,1742754730.1904511,46,0,-3,-7,-53,0,0,-20
-87.0,-1181.0,1948.0,1742754730.4415882,46,60,56,15,-40,0,0,3
505.0,-584.0,167.0,1742754730.6937902,46,60,44,17,-34,0,0,0
271.0,-753.0,556.0,1742754730.9457872,46,60,49,16,-33,0,0,0
254.0,-745.0,354.0,1742754731.197647,46,0,44,14,-33,0,0,0
203.0,-500.0,688.0,1742754731.4486377,46,0,37,9,-30,0,0,3
143.0,-150.0,-212.0,1742754731.7000601,46,-10,12,4,-24,0,0,6
53.0,-281.0,-63.0,1742754731.9520946,46,-20,7,0,-21,0,0,3
315.0,-231.0,138.0,1742754732.2033029,46,-30,13,11,-16,0,0,0
287.0,-122.0,17.0,1742754732.4556623,46,0,7,15,-12,0,0,2
-10.0,-89.0,-62.0,1742754732.7067711,46,0,4,3,-5,0,0,0
62.0,-72.0,-15.0,1742754732.9588916,46,0,1,7,-1,0,0,0
223.0,-154.0,-418.0,1742754733.2105196,46,0,0,5,-5,0,0,-2
191.0,-27.0,-183.0,1742754733.4626825,46,0,0,4,-10,0,0,-7
53.0,-180.0,309.0,1742754733.713782,46,30,8,2,-7,0,0,-4
14.0,-163.0,63.0,1742754733.9657168,46,20,9,2,-4,0,0,0
30.0,-215.0,34.0,1742754734.2180145,46,0,9,1,-3,0,0,0
50.0,-166.0,-34.0,1742754734.4694731,46,0,8,0,-2,0,0,0
1.0,-58.0,936.0,1742754734.720727,46,0,5,0,-4,0,0,15
-2.0,-10.0,967.0,1742754734.972054,46,-50,-4,-2,2,2,3,15
100.0,-104.0,-26.0,1742754735.224299,46,-80,1,8,4,0,0,6
230.0,215.0,31.0,1742754735.4754748,46,-100,-7,8,-1,0,0,5
362.0,331.0,27.0,1742754735.726458,46,-100,-18,17,-4,0,0,4
290.0,313.0,-113.0,1742754735.9783874,45,-100,-9,7,-1,0,0,3
17.0,-41.0,47.0,1742754736.2304146,45,-100,0,-1,1,0,0,1
125.0,-70.0,-366.0,1742754736.4830294,45,0,-2,1,0,0,0,0
-74.0,81.0,-27.0,1742754736.7340038,45,20,4,-2,0,0,0,-14
-27.0,-280.0,505.0,1742754736.9860196,45,70,22,0,2,0,0,-7
-98.0,-354.0,531.0,1742754737.2373343,45,80,24,2,4,0,0,-1
103.0,208.0,1217.0,1742754737.4892037,45,70,19,3,-1,-2,-2,10
-44.0,-344.0,-1812.0,1742754737.7409694,45,20,-11,-2,2,0,2,5
-208.0,290.0,462.0,1742754737.9927301,45,70,21,0,-5,0,0,-27
-298.0,-207.0,1210.0,1742754738.24479,45,120,39,0,-4,0,0,-12
-67.0,-264.0,1218.0,1742754738.4963691,45,130,39,1,-5,0,0,3
174.0,228.0,-1945.0,1742754738.7483454,45,70,1,2,-4,0,0,26
10.0,-85.0,-633.0,1742754738.9998915,45,50,-10,-1,-3,0,0,-3
-123.0,242.0,-16.0,1742754739.2511718,45,80,8,0,-6,0,0,-21
14.0,21.0,1084.0,1742754739.5026915,45,120,25,4,-10,0,0,-18
90.0,77.0,1472.0,1742754739.753664,45,130,30,1,-14,0,0,7
264.0,273.0,-1469.0,1742754740.005206,45,90,10,5,-9,0,0,28
61.0,145.0,-486.0,1742754740.2569823,45,50,-6,0,-9,0,0,-3
53.0,54.0,73.0,1742754740.5085044,45,70,11,0,-9,0,0,-18
-166.0,-153.0,949.0,1742754740.7595704,45,110,31,6,-4,0,0,-12
-27.0,-149.0,927.0,1742754741.0117595,45,110,30,6,-4,0,0,9
-10.0,475.0,-403.0,1742754741.2631733,45,80,4,4,-7,0,0,25
85.0,162.0,-664.0,1742754741.514418,45,30,-17,0,-6,0,0,-2
70.0,-98.0,-338.0,1742754741.7656436,45,50,0,-1,-9,0,0,-11
-59.0,-160.0,702.0,1742754742.0169244,45,70,17,3,-11,0,0,-14
-41.0,183.0,236.0,1742754742.2681391,45,80,8,6,-8,0,0,15
-79.0,550.0,-665.0,1742754742.5204802,45,50,-15,0,-14,-1,1,17
-45.0,450.0,-611.0,1742754742.7717545,45,30,-14,-2,-19,0,0,-9
-183.0,47.0,440.0,1742754743.023441,45,70,3,-2,-20,0,0,-16
-59.0,41.0,515.0,1742754743.2749255,45,90,5,3,-17,0,0,12
-113.0,373.0,-716.0,1742754743.5259602,45,50,-8,0,-17,0,0,17
-153.0,474.0,-1188.0,1742754743.7767463,45,30,-8,0,-13,0,0,-1
-45.0,91.0,1134.0,1742754744.027704,45,60,-2,-1,-11,0,0,0
158.0,33.0,699.0,1742754744.2796001,45,30,-14,-19,-2,0,0,0
-430.0,89.0,-347.0,1742754744.5312233,45,50,5,-12,-7,0,0,-7
-42.0,20.0,911.0,1742754744.7821755,45,40,-2,-6,-2,0,0,13
86.0,-57.0,-1551.0,1742754745.033806,45,40,-1,-2,-5,0,0,-10
-250.0,-86.0,943.0,1742754745.2855816,45,40,2,0,-5,0,0,4
73.0,-250.0,-481.0,1742754745.5371618,45,20,-2,0,-2,0,0,-2
-164.0,39.0,609.0,1742754745.7880597,45,30,3,-1,-1,0,0,-1
-49.0,-104.0,-303.0,1742754746.0400858,45,20,0,1,-1,0,0,5
65.0,19.0,-108.0,1742754746.2923822,45,20,-1,2,-1,0,0,-1
46.0,-8.0,50.0,1742754746.543425,45,0,0,2,0,0,0,-2
44.0,-48.0,281.0,1742754746.794574,45,0,1,1,1,0,0,1
46.0,-3.0,-3.0,1742754747.045817,45,0,0,2,1,0,0,2
40.0,-19.0,-66.0,1742754747.2971194,45,0,-2,3,1,0,0,1
59.0,-6.0,-54.0,1742754747.548491,45,0,-2,2,2,0,0,-3
-4.0,-2.0,86.0,1742754747.7992527,45,0,0,2,2,0,0,-1
102.0,-113.0,196.0,1742754748.0517452,45,0,0,2,0,0,0,2
-2.0,-34.0,-93.0,1742754748.303296,45,0,-1,2,1,0,0,2
8.0,-5.0,-45.0,1742754748.5554187,45,0,-2,2,0,0,0,1
79.0,20.0,-12.0,1742754748.806401,45,0,-2,2,0,0,0,1
6.0,17.0,-153.0,1742754749.0580244,45,0,-3,3,1,0,0,-1
