time,battery,height,ax,ay,az,roll,pitch,yaw
1742750418.6741838,85,10,2.0,1.0,-3.0,0,0,-13
1742750419.1754665,85,10,3.0,0.0,-3.0,0,0,-13
1742750419.6764984,85,10,4.0,1.0,0.0,0,0,-13
1742750420.1781955,85,10,1.0,1.0,-1.0,0,0,-13
1742750420.6793542,85,10,2.0,1.0,-1.0,0,0,-13
1742750421.1811836,85,33,317.0,-72.0,390.0,6,29,-9
1742750421.682747,85,6553,609.0,-356.0,342.0,24,42,29
1742750422.1843565,85,51,693.0,-253.0,324.0,17,45,28
1742750422.685409,85,10,407.0,136.0,0.0,2,21,-21
1742750423.187404,85,10,312.0,52.0,89.0,-2,17,-25
1742750423.689136,85,10,288.0,73.0,67.0,-2,17,-39
1742750424.1912448,85,38,569.0,88.0,254.0,-6,38,-26
1742750424.6934414,85,10,300.0,18.0,-70.0,-2,18,-19
1742750425.1943433,85,10,422.0,117.0,37.0,-3,22,-39
1742750425.6955976,85,10,447.0,6.0,58.0,2,23,-55
1742750426.1974838,85,40,563.0,-3.0,259.0,3,34,-45
1742750426.698835,85,38,294.0,-277.0,110.0,10,21,-16
1742750427.2003267,85,10,262.0,96.0,-2.0,-8,20,-28
1742750427.7013679,85,10,185.0,28.0,-74.0,3,0,-21
1742750428.203546,85,10,-14.0,4.0,73.0,-2,0,-49
1742750428.7047195,85,10,-38.0,-15.0,-86.0,0,-4,-29
1742750429.2067382,85,10,4.0,1.0,-6.0,0,0,-17
1742750429.7079813,85,10,5.0,1.0,-4.0,0,0,-17
1742750430.2106376,85,10,2.0,0.0,-6.0,0,0,-17
1742750430.711974,85,10,1.0,-1.0,-4.0,0,0,-17
1742750431.213969,85,10,3.0,0.0,-6.0,0,0,-17
1742750431.7150013,85,10,2.0,2.0,-6.0,0,0,-17
1742750432.217632,85,10,2.0,-2.0,-5.0,0,0,-17
1742750432.7245662,85,10,0.0,1.0,-2.0,0,0,-17
1742750433.234817,85,10,0.0,0.0,-5.0,0,0,-17
1742750433.7356877,85,10,1.0,-1.0,-3.0,0,0,-17
1742750434.2382329,85,10,0.0,-1.0,-3.0,0,0,-17
1742750434.7393024,85,10,2.0,-1.0,-2.0,0,0,-17
1742750435.2413027,85,10,2.0,0.0,-2.0,0,0,-17
1742750435.7427158,85,10,0.0,-1.0,-4.0,0,0,-17
1742750436.2445893,85,10,-1.0,0.0,-3.0,0,0,-17
1742750436.7458956,85,10,0.0,1.0,-1.0,0,0,-17
1742750437.247772,85,10,-1.0,-1.0,-4.0,0,0,-17
1742750437.7492247,85,10,1.0,1.0,-2.0,0,0,-17
1742750438.2520542,85,10,0.0,0.0,-3.0,0,0,-17
1742750438.7537723,85,10,1.0,0.0,-1.0,0,0,-17
1742750439.2551649,85,10,-1.0,0.0,-4.0,0,0,-17
1742750439.7560587,85,10,1.0,-1.0,-3.0,0,0,-17
1742750440.2593799,85,10,1.0,-1.0,-4.0,0,0,-17
1742750440.760567,85,10,0.0,0.0,-2.0,0,0,-17
1742750441.2626703,85,10,0.0,0.0,-2.0,0,0,-17
1742750441.7640996,85,10,2.0,0.0,-4.0,0,0,-17
1742750442.3152294,85,10,0.0,-2.0,0.0,0,0,-17
1742750442.8293753,85,10,1.0,-1.0,-2.0,0,0,-17
1742750443.3308816,85,10,2.0,0.0,-3.0,0,0,-17
1742750443.8318548,85,10,1.0,2.0,-2.0,0,0,-17
1742750444.333514,85,10,1.0,0.0,-2.0,0,0,-17
1742750444.8352034,85,10,1.0,1.0,-4.0,0,0,-17
1742750445.3370707,85,10,0.0,2.0,-3.0,0,0,-17
