time,battery,height,ax,ay,az,roll,pitch,yaw
1742750326.146419,88,32,663.0,-195.0,270.0,13,40,6
1742750326.6476552,87,32,644.0,-187.0,261.0,13,39,6
1742750327.149084,87,31,661.0,-186.0,242.0,13,39,7
1742750327.6505625,87,32,645.0,-197.0,254.0,13,39,7
1742750328.1516786,87,32,611.0,-199.0,262.0,12,39,6
1742750328.6538427,87,32,643.0,-161.0,280.0,12,39,5
1742750329.154981,87,32,628.0,-177.0,263.0,12,39,5
1742750329.6560261,87,31,645.0,-182.0,239.0,12,39,5
1742750330.1578057,87,31,650.0,-186.0,242.0,13,40,10
1742750330.6593826,87,32,690.0,-197.0,300.0,13,42,13
1742750331.16039,87,33,661.0,-204.0,295.0,14,42,13
1742750331.662418,87,34,695.0,-184.0,271.0,14,42,13
1742750332.1651423,87,36,578.0,-370.0,295.0,24,38,30
1742750332.666682,87,32,672.0,-245.0,317.0,19,41,23
1742750333.1683083,87,33,649.0,-251.0,299.0,18,41,22
1742750333.670114,87,31,655.0,-241.0,282.0,17,41,22
1742750334.1716053,87,34,685.0,-228.0,314.0,17,41,21
1742750334.673468,87,32,593.0,-189.0,239.0,11,41,6
1742750335.1742666,87,33,686.0,-172.0,267.0,10,42,6
1742750335.6753602,87,39,702.0,-281.0,383.0,21,48,27
1742750336.1775427,87,34,734.0,16.0,288.0,1,44,-19
1742750336.6798227,87,10,689.0,-4.0,268.0,-1,44,-19
1742750337.1819284,87,40,455.0,-395.0,64.0,9,43,9
1742750337.6834683,87,44,773.0,-197.0,443.0,19,52,28
1742750338.1861715,87,43,793.0,-180.0,397.0,15,51,22
1742750338.6873674,87,43,790.0,-177.0,407.0,14,51,21
1742750339.1895266,87,43,791.0,-171.0,394.0,14,51,20
1742750339.690848,87,36,597.0,-166.0,251.0,14,35,0
1742750340.1939056,87,10,392.0,-103.0,68.0,3,25,8
1742750340.6949933,87,41,620.0,-269.0,287.0,15,46,19
1742750341.198077,87,6553,734.0,-242.0,432.0,25,44,12
1742750341.7002568,87,42,662.0,-263.0,305.0,20,39,-1
1742750342.20181,87,35,572.0,-238.0,256.0,16,36,-3
1742750342.7052507,87,10,437.0,-138.0,53.0,5,22,-1
1742750343.2070258,87,10,472.0,-18.0,131.0,1,28,8
1742750343.709296,87,10,501.0,-2.0,152.0,0,28,10
1742750344.210943,87,10,453.0,0.0,114.0,0,25,7
1742750344.7118666,87,10,407.0,-41.0,-10.0,0,26,7
1742750345.2129223,87,10,445.0,-192.0,182.0,8,32,3
1742750345.7137756,87,10,456.0,-91.0,121.0,9,18,-14
1742750346.215317,87,10,265.0,-62.0,57.0,3,16,-13
1742750346.7160606,87,10,307.0,-9.0,53.0,0,18,-6
1742750347.2171235,87,10,350.0,-54.0,60.0,3,19,1
1742750347.7187786,87,10,315.0,-221.0,105.0,12,20,3
1742750348.2195272,87,30,285.0,-298.0,107.0,15,18,-6
1742750348.7210782,87,10,302.0,-159.0,17.0,10,12,-13
1742750349.2222445,87,10,247.0,-185.0,47.0,9,14,-12
1742750349.7230608,87,10,-110.0,-309.0,234.0,3,0,-12
1742750350.223893,87,10,4.0,-2.0,-6.0,-1,0,-13
1742750350.724706,87,10,4.0,-2.0,-2.0,-1,0,-13
1742750351.2255402,87,10,4.0,-2.0,-3.0,-1,0,-13
1742750351.726599,87,10,4.0,-2.0,-3.0,-1,0,-13
1742750352.2280524,87,10,5.0,-3.0,-3.0,-1,0,-13
1742750352.7289922,87,10,3.0,-3.0,-5.0,-1,0,-14
1742750353.2306693,87,10,1.0,0.0,-4.0,0,0,-14
1742750353.731773,87,10,2.0,-3.0,-4.0,0,0,-14
1742750354.2331095,87,10,4.0,-2.0,-5.0,0,0,-14
1742750354.7342346,87,10,2.0,0.0,-3.0,0,0,-14
1742750355.2358003,87,10,2.0,-1.0,0.0,0,0,-14
1742750355.7373574,87,10,3.0,-1.0,-2.0,0,0,-14
1742750356.2388923,87,10,3.0,-2.0,-3.0,0,0,-14
1742750356.7405698,87,10,4.0,-1.0,-3.0,0,0,-14
1742750357.241649,87,10,2.0,-2.0,0.0,0,0,-14
1742750357.7431197,87,10,4.0,-1.0,-4.0,0,0,-14
1742750358.2440581,87,10,3.0,-2.0,-3.0,0,0,-14
1742750358.7451334,87,10,3.0,-1.0,-3.0,0,0,-14
1742750359.2462761,87,10,2.0,0.0,-5.0,0,0,-14
1742750359.7473924,87,10,4.0,-4.0,-5.0,0,0,-14
